"Ranking,Name,ELO,PlayedGames"
"695,[OG]FckyFcky,73.6,89"
"696,Viking,73.6,76"
"697,Rohan,73.6,46"
"698,[БЛР]Минск,73.5,223"
"699,Zorbarising,73.5,268"
"700,Sagnik'sBF[IND],73.5,25"
"701,Hotpotato,73.4,81"
"702,Player948,73.4,69"
"703,[BR]SupremeArmy,73.3,583"
"704,[TR]Gyaaaat,73.3,52"
"705,papawlik[PL],73.2,63"
"706,[1825]DarkMatter,73.2,21"
"707,amogus,73.2,307"
"708,[COMIE]Arstotzka,73.1,65"
"709,Hungary,73.1,27"
"710,AndroidUser804,72.9,845"
"711,Apoc,72.8,85"
"712,AmCnLin,72.8,173"
"713,Camper,72.7,219"
"714,Herban,72.7,219"
"715,[x]chikuta,72.7,211"
"716,[CORGI]kalamano701,72.6,35"
"717,Player739,72.6,49"
"718,[Zeppo]loveskafka,72.5,50"
"719,[Waifu]Rem,72.5,19"
"720,RomaOrientalis,72.5,41"
"721,Mittelfranken,72.5,102"
"722,baida,72.4,144"
"723,PlayerOne,72.4,225"
"724,i[ind]dsc.gg/indtt,72.4,178"
"725,[PLUTO]azasi,72.3,367"
"726,Vecsi,72.2,51"
"727,FakeTaxi,72.2,290"
"728,[UA]Yura,72.1,315"
"729,[FR]nukar,72.0,79"
"730,WhoAmI[EU],72.0,69"
"731,iOSUser598,71.9,56"
"732,[wrath]imgoofy,71.7,647"
"733,.:.,71.7,88"
"734,[OG]SwadowDragon,71.7,228"
"735,GeneralJ,71.7,213"
"736,Pepegia,71.6,1115"
"737,[Arch]ToastyD,71.6,28"
"738,A.I.D.S.,71.6,79"
"739,Shai-Hulud,71.6,297"
"740,S[PL]dsc.gg/plclan,71.5,56"
"741,FreePalestnFromHamas,71.4,31"
"742,[ГРП]Ангарчан,71.4,65"
"743,[corgi]VisitMoravia,71.4,27"
"744,Ski,71.3,161"
"745,[IND]Olympus,71.3,73"
"746,[OG]Beasti,71.2,43"
"747,o_o,71.2,218"
"748,Plymouth,71.2,214"
"749,[Corgi]Benice,71.2,165"
"750,[FR]Komawin#725,71.0,184"
"751,aaa,71.0,25"
"752,[RUS]Bbot,71.0,107"
"753,[EU]Fangorn,71.0,158"
"754,Keratardon,71.0,47"
"755,Player667,70.9,109"
"756,HarryPotter,70.9,36"
"757,zoan,70.8,419"
"758,[PLUTO]Player221,70.6,78"
"759,[RU]Rubix,70.6,147"
"760,[Vn]Calisthenics,70.5,118"
"761,+[Torrente]+,70.5,184"
"762,MugClub,70.4,543"
